posicao_papel,ticker,horizonte,janela,episodios,protecao,prot_lo,taxa_base,passa_barra,corte,divisoes_usadas,divisoes_oferecidas,pregoes_medidos,inicio_medido,fim_medido
1,EGIE3,3,190,46,0.9565217391304348,0.8516132240798842,0.5153344602752958,True,-0.8312721969581569,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,5,86,46,0.9565217391304348,0.8516132240798842,0.5250060401063059,True,-0.9177665342980827,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,98,46,0.9565217391304348,0.8516132240798842,0.5250060401063059,True,-0.8987070936953357,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,85,46,0.9565217391304348,0.8516132240798842,0.5250060401063059,True,-0.9189113599793254,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,3,153,46,0.9565217391304348,0.8516132240798842,0.5153344602752958,True,-0.8373739082363201,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,188,46,0.9565217391304348,0.8516132240798842,0.5153344602752958,True,-0.8306787010092782,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,187,46,0.9565217391304348,0.8516132240798842,0.5153344602752958,True,-0.828157370154677,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,186,46,0.9565217391304348,0.8516132240798842,0.5153344602752958,True,-0.8288756209708299,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,5,87,46,0.9565217391304348,0.8516132240798842,0.5250060401063059,True,-0.9191923553382024,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,3,189,46,0.9565217391304348,0.8516132240798842,0.5153344602752958,True,-0.8330924819848395,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,5,166,35,0.9714285714285714,0.8508279203435684,0.5250060401063059,True,-0.8384337587685113,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,169,35,0.9714285714285714,0.8508279203435684,0.5250060401063059,True,-0.8348366496914739,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,170,35,0.9714285714285714,0.8508279203435684,0.5250060401063059,True,-0.8351833288214108,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,168,35,0.9714285714285714,0.8508279203435684,0.5250060401063059,True,-0.8357793528353199,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,167,35,0.9714285714285714,0.8508279203435684,0.5250060401063059,True,-0.8353132337373552,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,3,77,65,0.9384615384615385,0.849866599329491,0.5153344602752958,True,-0.9306932378256239,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,184,45,0.9555555555555556,0.8485070997566608,0.5153344602752958,True,-0.8274572732903696,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,5,97,45,0.9555555555555556,0.8485070997566608,0.5250060401063059,True,-0.8974221996003118,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,3,138,45,0.9555555555555556,0.8485070997566608,0.5153344602752958,True,-0.8394395878683852,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,139,45,0.9555555555555556,0.8485070997566608,0.5153344602752958,True,-0.8419819827287324,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,141,45,0.9555555555555556,0.8485070997566608,0.5153344602752958,True,-0.8424996966639763,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,156,45,0.9555555555555556,0.8485070997566608,0.5153344602752958,True,-0.8346744248972675,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,76,64,0.9375,0.8476365265773032,0.5153344602752958,True,-0.9333445385223568,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,68,64,0.9375,0.8476365265773032,0.5153344602752958,True,-0.977571704735114,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,69,64,0.9375,0.8476365265773032,0.5153344602752958,True,-0.9669743349758478,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,183,44,0.9545454545454546,0.8452684223410106,0.5153344602752958,True,-0.8273010190941249,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,181,44,0.9545454545454546,0.8452684223410106,0.5153344602752958,True,-0.8347768113055791,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,177,44,0.9545454545454546,0.8452684223410106,0.5153344602752958,True,-0.8317885027713963,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,182,44,0.9545454545454546,0.8452684223410106,0.5153344602752958,True,-0.830761050367921,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,70,62,0.9354838709677419,0.8429719159624259,0.5153344602752958,True,-0.9597744799948572,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,71,62,0.9354838709677419,0.8429719159624259,0.5153344602752958,True,-0.9601809883084521,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,5,96,43,0.9534883720930233,0.8418885416913023,0.5250060401063059,True,-0.8975265719284715,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,88,43,0.9534883720930233,0.8418885416913023,0.5250060401063059,True,-0.9146657887333486,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,94,42,0.9523809523809523,0.838358040308346,0.5250060401063059,True,-0.9030199853930162,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,150,42,0.9523809523809523,0.838358040308346,0.5250060401063059,True,-0.8395623192039374,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,95,42,0.9523809523809523,0.838358040308346,0.5250060401063059,True,-0.9006687877184154,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,149,42,0.9523809523809523,0.838358040308346,0.5250060401063059,True,-0.8397938290582092,4,4,4139,2010-01-04,2026-08-28
